序号,回测期号,回测方法,回测期数,回测结果排名,回测结果值,下期期号,下期前区开奖号,是否正确,正确的球,正确率
1,26055,最新一期两球组合,50,第1名,12,26056,,否,,0%
2,26055,最新一期两球组合,50,最后1名,26 16,26056,,否,,0%
3,26055,倒数2期两球组合,50,第1名,9,26056,,否,,0%
4,26055,倒数2期两球组合,50,最后1名,24,26056,,否,,0%
5,26055,倒数3期两球组合,50,第1名,20,26056,,否,,0%
6,26055,倒数3期两球组合,50,最后1名,15,26056,,否,,0%
7,26055,倒数4期两球组合,50,第1名,6,26056,,否,,0%
8,26055,倒数4期两球组合,50,最后1名,28 17,26056,,否,,0%
9,26055,倒数5期两球组合,50,第1名,19,26056,,否,,0%
10,26055,倒数5期两球组合,50,最后1名,31,26056,,否,,0%
11,26055,最新一期两球组合,30,第1名,12,26056,,否,,0%
12,26055,最新一期两球组合,30,最后1名,15 16,26056,,否,,0%
13,26055,倒数2期两球组合,30,第1名,28,26056,,否,,0%
14,26055,倒数2期两球组合,30,最后1名,30 18,26056,,否,,0%
15,26055,倒数3期两球组合,30,第1名,33,26056,,否,,0%
16,26055,倒数3期两球组合,30,最后1名,15,26056,,否,,0%
17,26055,倒数4期两球组合,30,第1名,35,26056,,否,,0%
18,26055,倒数4期两球组合,30,最后1名,13 17,26056,,否,,0%
19,26055,倒数5期两球组合,30,第1名,33,26056,,否,,0%
20,26055,倒数5期两球组合,30,最后1名,31,26056,,否,,0%
21,26055,最新一期两球组合,20,第1名,24,26056,,否,,0%
22,26055,最新一期两球组合,20,最后1名,21 5,26056,,否,,0%
23,26055,倒数2期两球组合,20,第1名,33,26056,,否,,0%
24,26055,倒数2期两球组合,20,最后1名,27,26056,,否,,0%
25,26055,倒数3期两球组合,20,第1名,10,26056,,否,,0%
26,26055,倒数3期两球组合,20,最后1名,15,26056,,否,,0%
27,26055,倒数4期两球组合,20,第1名,35,26056,,否,,0%
28,26055,倒数4期两球组合,20,最后1名,17,26056,,否,,0%
29,26055,倒数5期两球组合,20,第1名,15,26056,,否,,0%
30,26055,倒数5期两球组合,20,最后1名,26 31,26056,,否,,0%
31,26055,最新一期两球组合,10,第1名,24,26056,,否,,0%
32,26055,最新一期两球组合,10,最后1名,1,26056,,否,,0%
33,26055,倒数2期两球组合,10,第1名,9,26056,,否,,0%
34,26055,倒数2期两球组合,10,最后1名,28 24 18 13,26056,,否,,0%
35,26055,倒数3期两球组合,10,第1名,35,26056,,否,,0%
36,26055,倒数3期两球组合,10,最后1名,32 15,26056,,否,,0%
37,26055,倒数4期两球组合,10,第1名,10,26056,,否,,0%
38,26055,倒数4期两球组合,10,最后1名,34,26056,,否,,0%
39,26055,倒数5期两球组合,10,第1名,11,26056,,否,,0%
40,26055,倒数5期两球组合,10,最后1名,1,26056,,否,,0%
41,26054,最新一期两球组合,50,第1名,16,26055,9 35 20 33 10,否,,0%
42,26054,最新一期两球组合,50,最后1名,34,26055,9 35 20 33 10,否,,0%
43,26054,倒数2期两球组合,50,第1名,2,26055,9 35 20 33 10,否,,0%
44,26054,倒数2期两球组合,50,最后1名,20,26055,9 35 20 33 10,是,20,100.0%
45,26054,倒数3期两球组合,50,第1名,2,26055,9 35 20 33 10,否,,0%
46,26054,倒数3期两球组合,50,最后1名,3,26055,9 35 20 33 10,否,,0%
47,26054,倒数4期两球组合,50,第1名,2,26055,9 35 20 33 10,否,,0%
48,26054,倒数4期两球组合,50,最后1名,18 21,26055,9 35 20 33 10,否,,0%
49,26054,倒数5期两球组合,50,第1名,24,26055,9 35 20 33 10,否,,0%
50,26054,倒数5期两球组合,50,最后1名,3,26055,9 35 20 33 10,否,,0%
51,26054,最新一期两球组合,30,第1名,35,26055,9 35 20 33 10,是,35,100.0%
52,26054,最新一期两球组合,30,最后1名,10 4,26055,9 35 20 33 10,是,10,50.0%
53,26054,倒数2期两球组合,30,第1名,24,26055,9 35 20 33 10,否,,0%
54,26054,倒数2期两球组合,30,最后1名,15 25 23,26055,9 35 20 33 10,否,,0%
55,26054,倒数3期两球组合,30,第1名,30,26055,9 35 20 33 10,否,,0%
56,26054,倒数3期两球组合,30,最后1名,18,26055,9 35 20 33 10,否,,0%
57,26054,倒数4期两球组合,30,第1名,22,26055,9 35 20 33 10,否,,0%
58,26054,倒数4期两球组合,30,最后1名,21,26055,9 35 20 33 10,否,,0%
59,26054,倒数5期两球组合,30,第1名,24,26055,9 35 20 33 10,否,,0%
60,26054,倒数5期两球组合,30,最后1名,33,26055,9 35 20 33 10,是,33,100.0%
61,26054,最新一期两球组合,20,第1名,16,26055,9 35 20 33 10,否,,0%
62,26054,最新一期两球组合,20,最后1名,20 15,26055,9 35 20 33 10,是,20,50.0%
63,26054,倒数2期两球组合,20,第1名,14,26055,9 35 20 33 10,否,,0%
64,26054,倒数2期两球组合,20,最后1名,35 25,26055,9 35 20 33 10,是,35,50.0%
65,26054,倒数3期两球组合,20,第1名,2,26055,9 35 20 33 10,否,,0%
66,26054,倒数3期两球组合,20,最后1名,18,26055,9 35 20 33 10,否,,0%
67,26054,倒数4期两球组合,20,第1名,26,26055,9 35 20 33 10,否,,0%
68,26054,倒数4期两球组合,20,最后1名,18 21,26055,9 35 20 33 10,否,,0%
69,26054,倒数5期两球组合,20,第1名,24,26055,9 35 20 33 10,否,,0%
70,26054,倒数5期两球组合,20,最后1名,30 25,26055,9 35 20 33 10,否,,0%
71,26054,最新一期两球组合,10,第1名,31,26055,9 35 20 33 10,否,,0%
72,26054,最新一期两球组合,10,最后1名,20 29,26055,9 35 20 33 10,是,20,50.0%
73,26054,倒数2期两球组合,10,第1名,22,26055,9 35 20 33 10,否,,0%
74,26054,倒数2期两球组合,10,最后1名,1,26055,9 35 20 33 10,否,,0%
75,26054,倒数3期两球组合,10,第1名,2,26055,9 35 20 33 10,否,,0%
76,26054,倒数3期两球组合,10,最后1名,18,26055,9 35 20 33 10,否,,0%
