序号,回测期号,回测方法,回测期数,回测结果排名,回测结果值,下期期号,下期后区开奖号,是否正确,正确的球,正确率
1,26055,最新一期两球组合,50,第1名,7,26056,,否,,0%
2,26055,最新一期两球组合,50,最后1名,6 9,26056,,否,,0%
3,26055,倒数2期两球组合,50,第1名,2,26056,,否,,0%
4,26055,倒数2期两球组合,50,最后1名,6,26056,,否,,0%
5,26055,倒数3期两球组合,50,第1名,4,26056,,否,,0%
6,26055,倒数3期两球组合,50,最后1名,8,26056,,否,,0%
7,26055,倒数4期两球组合,50,第1名,1 6 12,26056,,否,,0%
8,26055,倒数4期两球组合,50,最后1名,4,26056,,否,,0%
9,26055,倒数5期两球组合,50,第1名,1,26056,,否,,0%
10,26055,倒数5期两球组合,50,最后1名,5 12,26056,,否,,0%
11,26055,最新一期两球组合,30,第1名,12,26056,,否,,0%
12,26055,最新一期两球组合,30,最后1名,6,26056,,否,,0%
13,26055,倒数2期两球组合,30,第1名,2,26056,,否,,0%
14,26055,倒数2期两球组合,30,最后1名,3 6,26056,,否,,0%
15,26055,倒数3期两球组合,30,第1名,5,26056,,否,,0%
16,26055,倒数3期两球组合,30,最后1名,7,26056,,否,,0%
17,26055,倒数4期两球组合,30,第1名,6,26056,,否,,0%
18,26055,倒数4期两球组合,30,最后1名,1 4 8,26056,,否,,0%
19,26055,倒数5期两球组合,30,第1名,11,26056,,否,,0%
20,26055,倒数5期两球组合,30,最后1名,5 12,26056,,否,,0%
21,26055,最新一期两球组合,20,第1名,12,26056,,否,,0%
22,26055,最新一期两球组合,20,最后1名,7,26056,,否,,0%
23,26055,倒数2期两球组合,20,第1名,12,26056,,否,,0%
24,26055,倒数2期两球组合,20,最后1名,3 9,26056,,否,,0%
25,26055,倒数3期两球组合,20,第1名,5,26056,,否,,0%
26,26055,倒数3期两球组合,20,最后1名,3 7,26056,,否,,0%
27,26055,倒数4期两球组合,20,第1名,6,26056,,否,,0%
28,26055,倒数4期两球组合,20,最后1名,4,26056,,否,,0%
29,26055,倒数5期两球组合,20,第1名,11,26056,,否,,0%
30,26055,倒数5期两球组合,20,最后1名,5 10,26056,,否,,0%
31,26055,最新一期两球组合,10,第1名,2,26056,,否,,0%
32,26055,最新一期两球组合,10,最后1名,6 7 11,26056,,否,,0%
33,26055,倒数2期两球组合,10,第1名,10,26056,,否,,0%
34,26055,倒数2期两球组合,10,最后1名,9,26056,,否,,0%
35,26055,倒数3期两球组合,10,第1名,4 12,26056,,否,,0%
36,26055,倒数3期两球组合,10,最后1名,11,26056,,否,,0%
37,26055,倒数4期两球组合,10,第1名,10,26056,,否,,0%
38,26055,倒数4期两球组合,10,最后1名,4,26056,,否,,0%
39,26055,倒数5期两球组合,10,第1名,11,26056,,否,,0%
40,26055,倒数5期两球组合,10,最后1名,5,26056,,否,,0%
41,26054,最新一期两球组合,50,第1名,5,26055,4 11,否,,0%
42,26054,最新一期两球组合,50,最后1名,6,26055,4 11,否,,0%
43,26054,倒数2期两球组合,50,第1名,4,26055,4 11,是,4,100.0%
44,26054,倒数2期两球组合,50,最后1名,9 12,26055,4 11,否,,0%
45,26054,倒数3期两球组合,50,第1名,3,26055,4 11,否,,0%
46,26054,倒数3期两球组合,50,最后1名,7,26055,4 11,否,,0%
47,26054,倒数4期两球组合,50,第1名,12,26055,4 11,否,,0%
48,26054,倒数4期两球组合,50,最后1名,5,26055,4 11,否,,0%
49,26054,倒数5期两球组合,50,第1名,5,26055,4 11,否,,0%
50,26054,倒数5期两球组合,50,最后1名,4,26055,4 11,是,4,100.0%
51,26054,最新一期两球组合,30,第1名,5,26055,4 11,否,,0%
52,26054,最新一期两球组合,30,最后1名,6 8 11,26055,4 11,是,11,33.3%
53,26054,倒数2期两球组合,30,第1名,4,26055,4 11,是,4,100.0%
54,26054,倒数2期两球组合,30,最后1名,12,26055,4 11,否,,0%
55,26054,倒数3期两球组合,30,第1名,9,26055,4 11,否,,0%
56,26054,倒数3期两球组合,30,最后1名,4,26055,4 11,是,4,100.0%
57,26054,倒数4期两球组合,30,第1名,12,26055,4 11,否,,0%
58,26054,倒数4期两球组合,30,最后1名,3 5 8 10 11,26055,4 11,是,11,20.0%
59,26054,倒数5期两球组合,30,第1名,12,26055,4 11,否,,0%
60,26054,倒数5期两球组合,30,最后1名,3,26055,4 11,否,,0%
61,26054,最新一期两球组合,20,第1名,2,26055,4 11,否,,0%
62,26054,最新一期两球组合,20,最后1名,3,26055,4 11,否,,0%
63,26054,倒数2期两球组合,20,第1名,10,26055,4 11,否,,0%
64,26054,倒数2期两球组合,20,最后1名,12,26055,4 11,否,,0%
65,26054,倒数3期两球组合,20,第1名,1,26055,4 11,否,,0%
66,26054,倒数3期两球组合,20,最后1名,4,26055,4 11,是,4,100.0%
67,26054,倒数4期两球组合,20,第1名,12,26055,4 11,否,,0%
68,26054,倒数4期两球组合,20,最后1名,5,26055,4 11,否,,0%
69,26054,倒数5期两球组合,20,第1名,12,26055,4 11,否,,0%
70,26054,倒数5期两球组合,20,最后1名,2 4 7,26055,4 11,是,4,33.3%
71,26054,最新一期两球组合,10,第1名,2,26055,4 11,否,,0%
72,26054,最新一期两球组合,10,最后1名,1 7 9 11 12,26055,4 11,是,11,20.0%
73,26054,倒数2期两球组合,10,第1名,2,26055,4 11,否,,0%
74,26054,倒数2期两球组合,10,最后1名,3,26055,4 11,否,,0%
75,26054,倒数3期两球组合,10,第1名,7,26055,4 11,否,,0%
76,26054,倒数3期两球组合,10,最后1名,10 12,26055,4 11,否,,0%
77,26054,倒数4期两球组合,10,第1名,12,26055,4 11,否,,0%
78,26054,倒数4期两球组合,10,最后1名,5,26055,4 11,否,,0%
79,26054,倒数5期两球组合,10,第1名,1,26055,4 11,否,,0%
80,26054,倒数5期两球组合,10,最后1名,2,26055,4 11,否,,0%
81,26053,最新一期两球组合,50,第1名,5,26054,8 11,否,,0%
82,26053,最新一期两球组合,50,最后1名,2 10,26054,8 11,否,,0%
83,26053,倒数2期两球组合,50,第1名,10,26054,8 11,否,,0%
84,26053,倒数2期两球组合,50,最后1名,5,26054,8 11,否,,0%
85,26053,倒数3期两球组合,50,第1名,12,26054,8 11,否,,0%
86,26053,倒数3期两球组合,50,最后1名,3 10,26054,8 11,否,,0%
87,26053,倒数4期两球组合,50,第1名,1,26054,8 11,否,,0%
88,26053,倒数4期两球组合,50,最后1名,6,26054,8 11,否,,0%
89,26053,倒数5期两球组合,50,第1名,11,26054,8 11,是,11,100.0%
90,26053,倒数5期两球组合,50,最后1名,1 2,26054,8 11,否,,0%
